,Unnamed: 0,ID,Время создания,Сколько лет?,Ваш пол?,Сколько стоит 1 вещь?,Сколько стоит 2 вещь?,Сколько стоит 3 вещь?,Сколько стоит 4 вещь?,Сколько стоит 5 вещь?,Насколько дорогие были вещи?,Номер контрольной группы
0,0,2174338682,2025-10-12 16:39:29,18,Женщина,4000,6000,7000,4000,6000,7,Дешёвые
1,1,2174340885,2025-10-12 16:43:01,10,Мужчина,5000,9000,4700,8500,13000,7,Дешёвые
2,2,2174510843,2025-10-12 20:48:35,23,Женщина,5000,7000,6000,10000,12000,7,Дешёвые
3,3,2174511756,2025-10-12 20:50:00,36,Мужчина,4000,7000,9000,6000,4000,8,Дешёвые
4,4,2174512700,2025-10-12 20:51:26,17,Мужчина,7000,15000,12000,8000,4000,7,Дешёвые
5,5,2174514532,2025-10-12 20:54:00,22,Женщина,4000,7000,8000,9000,2000,8,Дешёвые
6,6,2174523558,2025-10-12 21:08:07,34,Женщина,7000,12000,6000,9000,7000,5,Дешёвые
7,7,2174989312,2025-10-13 12:04:40,19,Мужчина,4000,9000,1000,14000,5000,7,Дешёвые
8,8,2175021718,2025-10-13 12:34:41,18,Женщина,3000,8000,12000,16000,10000,8,Дешёвые
9,9,2175034455,2025-10-13 12:46:16,28,Женщина,3000,15000,7000,6000,5000,5,Дешёвые
10,10,2175039138,2025-10-13 12:50:27,15,Мужчина,7000,6000,9000,12000,4000,9,Дешёвые
11,11,2175640887,2025-10-13 21:07:27,26,Мужчина,10000,20000,15000,200000,10000,3,Дорогие
12,12,2175664897,2025-10-13 21:36:37,18,Женщина,30000,50000,70000,200000,300000,4,Дорогие
13,13,2175664958,2025-10-13 21:36:41,19,Мужчина,10000,5000,200000,700000,159000,4,Дорогие
14,14,2176395646,2025-10-14 15:51:34,18,Женщина,5000,10000,17000,10000,1200,6,Дешёвые
15,15,2176395704,2025-10-14 15:51:37,18,Женщина,7000,3000,14000,10000,500,7,Дешёвые
16,16,2176398997,2025-10-14 15:54:41,18,Женщина,30000,150000,500000,150000,150000,4,Дорогие
17,17,2176399177,2025-10-14 15:54:49,18,Женщина,35000,110000,500000,300000,300000,5,Дорогие
18,18,2176413105,2025-10-14 16:06:15,18,Мужчина,5000,50000,600000,3000000,2400000,7,Дорогие
19,19,2176413139,2025-10-14 16:06:16,18,Мужчина,20000,12000,487000,7500000,5000000,5,Дорогие
20,20,2176414958,2025-10-14 16:07:51,18,Мужчина,7500,15000,15000,15000,3000,5,Дешёвые
21,21,2176415001,2025-10-14 16:07:53,18,Мужчина,3000,5600,9900,11200,6932,6,Дешёвые
22,22,2176419421,2025-10-14 16:11:42,20,Мужчина,8000,200000,15000,8000,12000,5,Дешёвые
23,23,2176421308,2025-10-14 16:13:32,20,Мужчина,35000,220000,800000,2500000,200000,7,Дорогие
24,24,2176449080,2025-10-14 16:39:19,20,Мужчина,6000,4100,12000,11000,4000,6,Дешёвые
25,25,2176455411,2025-10-14 16:45:21,18,Мужчина,12500,25700,12000,6000,20000,6,Дешёвые
26,26,2176455444,2025-10-14 16:45:23,18,Мужчина,3500,15000,10000,7500,16000,7,Дешёвые
27,27,2176466602,2025-10-14 16:55:51,19,Мужчина,1500,7000,13000,9000,11000,6,Дешёвые
28,28,2176469534,2025-10-14 16:58:48,17,Женщина,30000,280000,650000,2000000,9800000,10,Дорогие
29,29,2176469604,2025-10-14 16:58:52,18,Мужчина,4000,3500,278000,250000,15000,7,Дорогие
30,30,2176469667,2025-10-14 16:58:55,19,Женщина,5000,200000,1000000,2000000,350000,8,Дорогие
31,31,2176484228,2025-10-14 17:13:30,20,Мужчина,2000,1000,1000000,2000000,800000,4,Дорогие
32,32,2176547765,2025-10-14 18:16:46,21,Женщина,12000,7000,20000,300000,250000,4,Дорогие
33,33,2176549434,2025-10-14 18:18:23,37,Мужчина,2000,4000,30000,70000,50000,2,Дорогие
34,34,2176564180,2025-10-14 18:33:36,26,Мужчина,6000,10000,80000,400000,700000,5,Дорогие
35,35,2176589315,2025-10-14 19:00:20,33,Женщина,7000,20000,100000,100000,130000,7,Дорогие
36,36,2176594496,2025-10-14 19:06:09,16,Женщина,20000,50000,300000,210000,170000,6,Дорогие
37,37,2176607719,2025-10-14 19:20:25,20,Мужчина,5000,10000,50000,300000,190000,5,Дорогие
38,38,2176608669,2025-10-14 19:21:27,46,Женщина,3000,5000,15000,60000,100000,1,Дорогие
39,39,2176610677,2025-10-14 19:23:38,26,Женщина,460000,590000,300000,200000,5000,8,Дорогие
40,40,2176612859,2025-10-14 19:25:52,29,Женщина,20000,70000,150000,250000,800000,5,Дорогие
41,41,2176740318,2025-10-14 22:09:46,42,Женщина,8000,200000,500000,300000,100000,7,Дорогие
42,42,2176742280,2025-10-14 22:12:52,42,Женщина,400000,150000,10000,25000,15000,3,Дешёвые
43,43,2176765328,2025-10-14 22:55:56,49,Женщина,5000,35000,100000,350000,700000,8,Дорогие
44,44,2177796075,2025-10-15 22:42:14,46,Мужчина,3000,6000,65785,45375,350215,2,Дорогие
45,45,2177796649,2025-10-15 22:43:22,22,Женщина,250000,300000,450000,230000,650000,7,Дорогие
46,46,2177796958,2025-10-15 22:44:06,38,Женщина,15000,30000,150000,245000,600000,3,Дорогие
47,47,2177797970,2025-10-15 22:46:24,31,Мужчина,500,800,30000,500000,320000,1,Дорогие
48,48,2177798378,2025-10-15 22:47:18,17,Мужчина,13000,25000,350000,150000,240000,9,Дорогие
49,49,2177799156,2025-10-15 22:49:02,53,Женщина,3000,35000,400000,280000,750000,3,Дорогие
50,50,2177799436,2025-10-15 22:49:44,18,Мужчина,20000,540000,350000,210000,15000,6,Дорогие
51,51,2177848801,2025-10-16 02:40:55,36,Мужчина,2500,9000,35000,150000,425000,4,Дорогие
52,52,2177848915,2025-10-16 02:41:44,16,Женщина,5000,100000,200000,250000,6000,6,Дорогие
53,53,2177849063,2025-10-16 02:42:59,25,Женщина,25000,150000,320000,170000,240000,5,Дорогие
54,54,2178733662,2025-10-16 22:06:19,17,Мужчина,7000,20000,50000,1200000,6000000,3,Дорогие
55,55,2178733664,2025-10-16 22:06:20,20,Мужчина,7000,7000,200000,1200000,5000000,6,Дорогие
56,56,2178733795,2025-10-16 22:06:35,19,Мужчина,8000,3000,150000,80000,3250000,8,Дорогие
57,57,2178750083,2025-10-16 22:38:14,19,Мужчина,3500,2000,7600,2500,4999,3,Дешёвые
58,58,2178750385,2025-10-16 22:38:51,23,Женщина,12000,8000,4500,6000,70000,4,Дешёвые
59,59,2178751614,2025-10-16 22:41:45,18,Женщина,4000,4700,7600,3499,5000,1,Дешёвые
60,60,2178751978,2025-10-16 22:42:34,34,Мужчина,12000,5800,7900,9000,13700,6,Дешёвые
61,61,2178752356,2025-10-16 22:43:25,52,Мужчина,6000,3000,5000,2000,2000,5,Дешёвые
62,62,2178758960,2025-10-16 22:58:44,19,Женщина,5000,7000,7700,10000,15000,6,Дешёвые
63,63,2178760124,2025-10-16 23:01:48,16,Женщина,11000,30000,10000,8000,11000,6,Дешёвые
64,64,2178760450,2025-10-16 23:02:45,17,Женщина,100000,6000,16000,9000,4000,4,Дешёвые
65,65,2178764692,2025-10-16 23:13:36,17,Женщина,9000,20000,13000,11000,13000,6,Дешёвые
66,66,2178766285,2025-10-16 23:17:51,18,Женщина,10000,8000,15000,8000,4000,6,Дешёвые
67,67,2178766294,2025-10-16 23:17:53,18,Мужчина,8000,20000,8000,8000,4000,5,Дешёвые
68,68,2178781632,2025-10-17 00:07:47,16,Мужчина,7000,6000,8000,12000,9000,6,Дешёвые
69,69,2178782218,2025-10-17 00:10:03,17,Женщина,4500,5000,7000,6700,3900,8,Дешёвые
70,70,2178794022,2025-10-17 01:11:21,18,Мужчина,4000,15000,15000,11000,3000,5,Дешёвые
71,71,2178794313,2025-10-17 01:13:46,18,Мужчина,6000,8000,7000,10000,4000,3,Дешёвые
72,72,2178796261,2025-10-17 01:30:11,19,Женщина,4000,150000,400000,2000000,3000000,8,Дорогие
